bl_part_id,boid,bk_part_id,item_type,brikick_name,api_item_type,bk_part_key,bl_color_id,bo_color_id,bk_color_id,weight,bk_img_url
6474pb33,549584-54,,P,,,,68,54,30,8.0,
6474pb33,549584-45,,P,,,,104,45,12,8.0,
6474pb34,555867-81,,P,,,,5,81,116,8.0,
6474pb35,69936-39,,P,,,,7,39,6,8.0,
6474pb36,134671-81,,P,,,,5,81,116,8.0,
6474pb37,644356-93,,P,,,,3,93,177,8.0,
6474pb38,856049-38,,P,,,,11,38,5,8.0,
6474pb39,927924-45,,P,,,,104,45,12,8.0,
6474pb40,881564-39,,P,,,,7,39,6,8.0,
6474pb41,224858-81,,P,,,,5,81,116,8.0,
6474pb42,588274,,P,,,,6,61,54,8.0,
6474pb43,799435-92,,P,,,,1,92,176,8.0,
6474pb44,813094-70,,P,,,,34,70,73,8.0,
6474pb45,,,P,,,,0,,0,8.0,
6474pb46,556800-81,,P,,,,5,81,116,8.0,
6474pb47,829557-70,,P,,,,34,70,73,8.0,
6474pb48,436526-92,,P,,,,1,92,176,8.34,
6474pb49,1180451,,P,,,,86,64,59,8.15,
6474pb50,470229-36,,P,,,,154,36,55,8.15,
6474px19,,,P,,,,0,,0,5.0,
6475,303540-61,,P,,,,6,61,54,156.0,
6475,303540-66,,P,,,,9,66,61,156.0,
6475,303540-64,,P,,,,86,64,59,156.0,
6476,362376-81,,P,,,,5,81,116,16.0,
6476,362376-70,,P,,,,34,70,73,16.0,
6476,362376-72,,P,,,,71,72,75,16.0,
6476250,,,P,,,,0,,0,2.25,
64767pb01,873945-18,,P,,,,48,18,126,1.64,
6477,978943-81,,P,,,,5,81,116,8.0,
6477,978943-70,,P,,,,34,70,73,8.0,
6477,978943-120,,P,,,,115,120,106,8.0,
64771,8177-93,,P,,,,3,93,177,12.5,
64772,31951-93,,P,,,,3,93,177,27.0,
64776pb01,998851-38,,P,,,,11,38,5,8.08,
64776pb01,998851-120,,P,,,,115,120,106,8.08,
6478,861540-93,,P,,,,3,93,177,7.0,
6478,861540-81,,P,,,,5,81,116,7.0,
6478,861540-61,,P,,,,6,61,54,7.0,
6478,861540-39,,P,,,,7,39,6,7.0,
6478,861540-10,,P,,,,37,10,82,7.0,
6478,861540,,P,,,,47,17,31,7.0,
6478,861540-72,,P,,,,71,72,75,7.0,
6478,861540-42,,P,,,,105,42,9,7.0,
64781,784669-38,,P,,,,11,38,5,3.13,
64782,600719-92,,P,,,,1,92,176,8.8,
64782,600719-93,,P,,,,3,93,177,8.8,
64782,600719-80,,P,,,,4,80,102,8.8,
64782,600719-81,,P,,,,5,81,116,8.8,
64782,600719-61,,P,,,,6,61,54,8.8,
64782,600719-39,,P,,,,7,39,6,8.8,
64782,600719-38,,P,,,,11,38,5,8.8,
64782,600719-14,,P,,,,42,14,78,8.8,
64782,600719-48,,P,,,,63,48,24,8.8,
64782,600719-20,,P,,,,80,20,28,8.8,
64782,600719-50,,P,,,,85,50,25,8.8,
64782,600719-64,,P,,,,86,64,59,8.8,
64782,600719-43,,P,,,,110,43,10,8.8,
64782,600719-47,,P,,,,153,47,23,8.8,
64782,600719-79,,P,,,,155,79,101,8.8,
64782pb001L,,,P,,,,0,,0,8.8,
64782pb001R,,,P,,,,0,,0,8.8,
64782pb002L,,,P,,,,0,,0,8.8,
64782pb002R,,,P,,,,0,,0,8.8,
64782pb003L,,,P,,,,0,,0,8.8,
64782pb003R,,,P,,,,0,,0,8.8,
64782pb004,,,P,,,,0,,0,8.8,
64782pb005L,,,P,,,,0,,0,8.8,
64782pb005R,,,P,,,,0,,0,8.8,
64782pb006L,,,P,,,,0,,0,8.8,
64782pb006R,,,P,,,,0,,0,8.8,
64782pb007,,,P,,,,0,,0,8.8,
64782pb008L,,,P,,,,0,,0,8.8,
64782pb008R,,,P,,,,0,,0,8.8,
64782pb009,,,P,,,,0,,0,8.8,
64782pb010L,,,P,,,,0,,0,8.8,
64782pb010R,,,P,,,,0,,0,8.8,
64782pb011L,,,P,,,,0,,0,8.8,
64782pb011R,,,P,,,,0,,0,8.8,
64782pb012,,,P,,,,0,,0,8.8,
64782pb013L,,,P,,,,0,,0,8.8,
64782pb013R,,,P,,,,0,,0,8.8,
64782pb014L,,,P,,,,0,,0,8.8,
