bl_part_id,bl_color_id,boid
970c00pb0358,1,906174
970c00pb0359,2,115327
970c00pb0360,55,193598
970c00pb0362,1,414912
970c00pb0363,11,238942
970c00pb0364,63,11678
970c00pb0365,88,52478
970c00pb0366,1,399457
970c00pb0367,11,11514
970c00pb0368,1,23254
970c00pb0369,85,907819
970c00pb0371,11,156171
970c00pb0372,11,180530
970c00pb0373,11,41584
970c00pb0374,1,718632
970c00pb0375,5,381957
970c00pb0376,5,361923
970c00pb0377,63,358350
970c00pb0378,6,269378
970c00pb0379,11,430459
970c00pb0380,120,403323
970c00pb0381,88,669269
970c00pb0382,59,392415
970c00pb0383,59,404217
970c00pb0384,1,844799
970c00pb0385,85,395910
970c00pb0386,11,700190
970c00pb0387,11,275591
970c00pb0388,48,445445
970c00pb0389,110,397174
970c00pb0390,11,864935
970c00pb0391,7,751927
970c00pb0392,11,675631
970c00pb0393,11,169036
970c00pb0394,11,702370
970c00pb0395,11,446160
970c00pb0396,85,861010
970c00pb0397,11,375248
970c00pb0398,59,266775
970c00pb0399,86,294176
970c00pb0400,6,970850
970c00pb0401,7,133553
970c00pb0402,2,807893
970c00pb0404,11,723993
970c00pb0405,11,165535
970c00pb0406,11,132481
970c00pb0407,120,534807
970c00pb0408,11,141981
970c00pb0409,120,922409
970c00pb0410,86,478614
970c00pb0411,7,807400
970c00pb0411,85,807400
970c00pb0411,80,807400
970c00pb0411,59,807400
970c00pb0411,86,807400
970c00pb0411,155,807400
970c00pb0411,4,807400
970c00pb0411,5,807400
970c00pb0411,1,807400
970c00pb0412,89,842773
970c00pb0413,11,268265
970c00pb0414,155,85718
970c00pb0415,1,107627
970c00pb0416,85,796015
970c00pb0417,85,595446
970c00pb0418,89,963333
970c00pb0419,5,278295
970c00pb0420,7,504350
970c00pb0420,63,504350
970c00pb0420,85,504350
970c00pb0420,88,504350
970c00pb0422,1,578882
970c00pb0423,85,986711
970c00pb0424,11,995663
970c00pb0425,11,530864
970c00pb0426,80,965104
970c00pb0427,11,491594
970c00pb0428,11,956539
970c00pb0429,11,264084
970c00pb0430,59,889514
970c00pb0431,1,93111
970c00pb0432,1,410595
970c00pb0433,55,705703
970c00pb0434,88,9197
970c00pb0435,63,293200
970c00pb0436,36,892689
970c00pb0437,1,144373
970c00pb0438,110,587809
970c00pb0439,55,552448
970c00pb0440,11,319604
970c00pb0441,1,193759
970c00pb0442,11,330093
970c00pb0443,11,453554
970c00pb0444,1,246692
970c00pb0445,69,524479
970c00pb0446,11,706576
970c00pb0447,120,257429
970c00pb0448,115,229412
970c00pb0449,85,740079
970c00pb0450,95,830002
970c00pb0451,1,655644
970c00pb0452,1,196677
970c00pb0453,68,913030
970c00pb0454,155,295549
970c00pb0455,11,652886
970c00pb0456,155,608952
970c00pb0458,11,525647
970c00pb0460,11,103546
970c00pb0461,63,227103
970c00pb0462,11,98171
970c00pb0463,1,34306
970c00pb0464,11,630880
970c00pb0465,11,390332
970c00pb0466,1,13524
970c00pb0467,5,644767
970c00pb0468,11,255882
970c00pb0469,48,643365
970c00pb0470,11,72428
970c00pb0471,5,972173
970c00pb0472,1,469653
970c00pb0473,11,
970c00pb0474,55,264191
970c00pb0475,1,728832
970c00pb0476,85,490727
970c00pb0477,11,333842
970c00pb0478,120,505804
970c00pb0479,5,230416
970c00pb0480,85,506763
970c00pb0481,11,1346081
970c00pb0482,63,586177
970c00pb0483,1,477959
970c00pb0484,11,94865
970c00pb0485,115,932598
970c00pb0486,2,379236
970c00pb0487,55,220921
970c00pb0488,63,538181
970c00pb0489,95,400615
970c00pb0490,59,759468
970c00pb0492,11,520877
970c00pb0493,63,682360
970c00pb0494,11,264212
970c00pb0495,42,620356
970c00pb0496,1,412114
970c00pb0497,1,93732
970c00pb0498,2,235531
970c00pb0499,80,124060
970c00pb0500,69,245057
970c00pb0501,5,55491
970c00pb0502,6,483881
970c00pb0503,7,140557
970c00pb0505,6,432889
970c00pb0506,47,98769
970c00pb0507,11,414264
970c00pb0508,4,221709
970c00pb0509,11,512995
970c00pb0510,11,619698
970c00pb0511,11,834977
970c00pb0512,68,462445
970c00pb0513,11,192845
970c00pb0514,11,457884
970c00pb0515,1,212334
970c00pb0516,1,573855
970c00pb0517,1,151228
970c00pb0518,5,914415
970c00pb0519,1,195407
970c00pb0520,1,146399
